rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,ESI
523,GJ 1132 b,GJ 1132,b,,,TIC 101955023,Gaia DR2 5413438219396893568,0,1,2,0,0,Transit,2015,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,2015-11,Ground,Cerro Tololo Inter-American Observatory,MEarth-South telescope array,Apogee CCD Sensor,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,1.62893,3.1e-05,-3.1e-05,0.0,,,,,1.16,0.11,-0.11,0.0,0.103,0.01,-0.01,0.0,1.62,0.55,-0.55,0.0,0.0051,0.00173,-0.00173,0.0,,,,,,,,,,,,,,,,,1.62,0.55,-0.55,0.0,0.0051,0.00173,-0.00173,0.0,Mass,6.0,2.5,-2.5,0.0,0.0,,,0.0,,,,,409.0,11.0,-11.0,0.0,,,,,2457184.55786,0.00032,-0.00032,0.0,BJD-TDB,0.0,0.38,0.14,-0.14,0.0,,,,,,,,,16.0,1.1,-1.1,0.0,0.0512,0.0025,-0.0025,0.0,,,,,,,,,,,,,2.76,0.92,-0.92,0.0,,,,,,,,,<a refstr=BERTA_THOMPSON_ET_AL__2015 href=http://www.nature.com/nature/journal/v527/n7577/full/nature15762.html target=ref>Berta-Thompson et al. 2015</a>,M4.5 V,3270.0,140.0,-140.0,0.0,0.21,0.02,-0.02,0.0,0.18,0.02,-0.02,0.0,-0.12,0.15,-0.15,0.0,[Fe/H],-2.359,0.032,-0.035,0.0,,,,,5.0,,,-1.0,29.6,6.0,-6.0,0.0,2.0,,,1.0,,,,,35.0,1.0,-1.0,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h14m50.18s,153.7090696,-47d09m17.77s,-47.1549358,7.75911,277.25461,-52.42012,181.43393,1132.4832583,0.0750929,-0.0750929,-1053.98,0.0738738,-0.0738738,414.3,0.0825484,-0.0825484,12.613,0.007,-0.007,79.2543,0.0437672,-0.0437672,,,,13.68,0.2,-0.2,9.245,0.026,-0.026,8.666,0.031,-0.031,8.322,0.027,-0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.138,0.000387,-0.000387,,,,10.8372,0.0073203,-0.0073203,,,,2018-06-26,2015-11,2015-11-12,2.0,0.0,0.0,0.0,1.0,12.0,0.0,0.30458445212678603
664,GJ 414 A b,GJ 414 A,b,HD 97101,HIP 54646,TIC 9001920,Gaia DR2 732857558276385664,1,2,2,0,0,Radial Velocity,2021,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>,2021-02,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>,50.8,0.1,-0.26,0.0,0.2324,0.0092,-0.0099,0.0,2.63,1.22,-0.85,0.0,0.235,0.109,-0.076,0.0,,,,,,,,,7.6,2.44,-2.19,0.0,0.02391,0.00768,-0.00689,0.0,,,,,,,,,7.6,2.44,-2.19,0.0,0.02391,0.00768,-0.00689,0.0,Msini,,,,,0.45,0.19,-0.22,0.0,,,,,309.0,34.0,-34.0,0.0,,,,,,,,,BJD-TDB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,2454203.07,13.06,-6.61,0.0,111.0,36.0,-52.0,0.0,2.05,0.62,-0.58,0.0,,,,,,,,,<a refstr=DEDRICK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...86D/abstract target=ref>Dedrick et al. 2021</a>,K7 V,4120.0,109.0,-109.0,0.0,0.68,0.14,-0.14,0.0,0.65,0.08,-0.08,0.0,0.24,0.1,-0.1,0.0,[Fe/H],-0.924,0.045,-0.05,0.0,4.65,0.04,-0.04,0.0,12.4,5.2,-5.2,0.0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h11m05.88s,167.7745044,+30d26m42.61s,30.4451688,67.81292,198.37152,23.09657,156.34585,623.6368895,0.0822184,-0.0822184,591.622,0.081171,-0.081171,-197.247,0.0911013,-0.0911013,11.8893,0.0067,-0.0067,84.0803,0.0470722,-0.0470722,9.69,0.029,-0.029,8.31,0.03,-0.03,5.764,0.02,-0.02,5.13,0.02,-0.02,4.979,0.018,-0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.72808,0.000672,-0.000672,,,,6.919,0.0061,-0.0061,,,,2021-03-25,2021-02,2021-04-01,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.2683674371046618
4367,K2-18 b,K2-18,b,,,TIC 388804061,Gaia DR2 3910747531814692736,0,1,2,0,0,Transit,2015,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,2015-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...887L..14B/abstract target=ref>Benneke et al. 2019</a>,32.940045,1e-05,-1e-05,0.0,0.1591,0.00046,-0.00047,0.0,2.61,0.087,-0.087,0.0,0.233,0.008,-0.008,0.0,8.63,1.35,-1.35,0.0,0.02715,0.00425,-0.00425,0.0,,,,,,,,,,,,,,,,,8.63,1.35,-1.35,0.0,0.02715,0.00425,-0.00425,0.0,Mass,2.67,0.52,-0.47,0.0,,,,,1.0,0.08,-0.08,0.0,255.0,4.0,-4.0,0.0,,,,,2457725.551189,6.7e-05,-6.8e-05,0.0,BJD-UTC,0.0,0.641,0.015,-0.015,0.0,,,,,,,,,,,,,0.05375,0.00012,-0.00012,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=BENNEKE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...887L..14B/abstract target=ref>Benneke et al. 2019</a>,,3457.0,39.0,-39.0,0.0,0.44,0.01,-0.01,0.0,0.5,0.0,0.0,0.0,,,,,,-1.597,0.035,-0.038,0.0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,62.57509,254.63265,4.01942,170.16732,155.5222618,0.069109,-0.069109,-80.3765,0.0834003,-0.0834003,-133.142,0.063101,-0.063101,38.0266,0.07955,-0.07955,26.2686,0.0545906,-0.0545906,14.991,0.032,-0.032,13.477,0.042,-0.042,9.763,0.028,-0.028,9.135,0.026,-0.026,8.899,0.019,-0.019,16.7222,0.0085568,-0.0085568,15.1354,0.0045191,-0.0045191,13.0855,0.0021847,-0.0021847,11.8579,0.0008067,-0.0008067,11.5166,0.0043013,-0.0043013,8.769,0.023,-0.023,8.668,0.02,-0.02,8.552,0.025,-0.025,8.587,0.379,-0.379,12.4154,0.000502,-0.000502,,,,11.2373,0.0073698,-0.0073698,12.473,,,2020-03-26,2019-12,2020-04-02,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.25115188620232415
4368,K2-18 b,K2-18,b,,,TIC 388804061,Gaia DR2 3910747531814692736,1,1,2,0,0,Transit,2015,<a refstr=MONTET_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...809...25M/abstract target=ref>Montet et al. 2015</a>,2015-08,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,32.939623,9.5e-05,-0.0001,0.0,0.1429,0.006,-0.0065,0.0,2.37,0.22,-0.22,0.0,0.211,0.02,-0.02,0.0,8.92,1.7,-1.6,0.0,0.02807,0.00535,-0.00503,0.0,,,,,,,,,,,,,,,,,8.92,1.7,-1.6,0.0,0.02807,0.00535,-0.00503,0.0,Mass,4.11,1.72,-1.18,0.0,0.2,0.08,-0.08,0.0,,,,,284.0,15.0,-15.0,0.0,,,,,2457264.39144,0.00065,-0.00065,0.0,BJD,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.7,46.4,-33.8,0.0,3.55,0.57,-0.58,0.0,,,,,,,,,<a refstr=SARKIS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..257S/abstract target=ref>Sarkis et al. 2018</a>,,3457.0,39.0,-39.0,0.0,0.41,0.04,-0.04,0.0,0.36,0.05,-0.05,0.0,0.12,0.16,-0.16,0.0,[Fe/H],,,,,,,,,,,,,,,,,,,,,39.63,0.5,-0.5,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m14.43s,172.560141,+07d35m16.19s,7.5878315,62.57509,254.63265,4.01942,170.16732,155.5222618,0.069109,-0.069109,-80.3765,0.0834003,-0.0834003,-133.142,0.063101,-0.063101,38.0266,0.07955,-0.07955,26.2686,0.0545906,-0.0545906,14.991,0.032,-0.032,13.477,0.042,-0.042,9.763,0.028,-0.028,9.135,0.026,-0.026,8.899,0.019,-0.019,16.7222,0.0085568,-0.0085568,15.1354,0.0045191,-0.0045191,13.0855,0.0021847,-0.0021847,11.8579,0.0008067,-0.0008067,11.5166,0.0043013,-0.0043013,8.769,0.023,-0.023,8.668,0.02,-0.02,8.552,0.025,-0.025,8.587,0.379,-0.379,12.4154,0.000502,-0.000502,,,,11.2373,0.0073698,-0.0073698,12.473,,,2019-03-18,2018-06,2019-03-21,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.4309542116080668
4987,K2-3 c,K2-3,c,,,TIC 173103335,Gaia DR2 3796690380302214272,1,1,3,0,0,Transit,2015,<a refstr=CROSSFIELD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...10C/abstract target=ref>Crossfield et al. 2015</a>,2015-05,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,24.646729,4.4e-05,-4.2e-05,0.0,0.1357,0.0023,-0.0022,0.0,1.582,0.057,-0.051,0.0,0.141,0.005,-0.005,0.0,2.68,0.85,-0.85,0.0,0.00843,0.00267,-0.00267,0.0,,,,,,,,,,,,,,,,,2.68,0.85,-0.85,0.0,0.00843,0.00267,-0.00267,0.0,Mass,3.7,1.2,-1.2,0.0,0.048,0.073,-0.035,0.0,3.17,0.3,-0.3,0.0,372.0,4.0,-4.0,0.0,89.84,0.11,-0.14,0.0,2457329.85688,0.00055,-0.00056,0.0,BJD-TDB,0.0,0.14,0.13,-0.1,0.0,,,,,,,,,53.5,1.3,-1.5,0.0,0.02658,0.00032,-0.00032,0.0,,,,,,,,,-180.0,100.0,-110.0,0.0,0.88,0.28,-0.28,0.0,,,,,,,,,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.55,0.02,-0.02,0.0,0.55,0.03,-0.03,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],-1.231,0.013,-0.014,0.0,4.7,0.02,-0.03,0.0,6.9,4.7,-4.7,0.0,4.78,0.37,-0.4,0.0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,55.25008,264.98752,-4.37792,173.53343,122.2623054,0.0811597,-0.0811597,94.0337,0.0943642,-0.0943642,-78.1392,0.0568367,-0.0568367,44.0727,0.10815,-0.10815,22.661,0.0552838,-0.0552838,13.527,0.04,-0.04,12.168,0.009,-0.009,9.421,0.027,-0.027,8.805,0.044,-0.044,8.561,0.023,-0.023,15.7198,0.0060234,-0.0060234,13.021,0.0010063,-0.0010063,11.6746,0.0007905,-0.0007905,10.9702,0.000694,-0.000694,12.8219,0.0104595,-0.0104595,8.443,0.022,-0.022,8.424,0.019,-0.019,8.322,0.021,-0.021,8.251,0.298,-0.298,11.4785,0.000959,-0.000959,,,,10.5459,0.0072768,-0.0072768,11.574,,,2023-07-10,2022-11,2023-07-10,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.29155101340798556
4991,K2-3 c,K2-3,c,,,TIC 173103335,Gaia DR2 3796690380302214272,0,1,3,0,0,Transit,2015,<a refstr=CROSSFIELD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...10C/abstract target=ref>Crossfield et al. 2015</a>,2015-05,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,24.646582,3.9e-05,-3.9e-05,0.0,0.1414,0.0047,-0.0047,0.0,1.69,0.17,-0.17,0.0,0.151,0.015,-0.015,0.0,3.3,1.2,-1.2,0.0,0.01038,0.00378,-0.00378,0.0,,,,,,,,,,,,,,,,,3.3,1.2,-1.2,0.0,0.01038,0.00378,-0.00378,0.0,Mass,3.7,2.1,-1.5,0.0,0.095,,,1.0,3.51,0.85,-0.73,0.0,381.0,21.0,-21.0,0.0,89.905,0.066,-0.088,0.0,2456812.28013,0.00095,-0.00095,0.0,BJD-TDB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.01,0.35,-0.35,0.0,,,,,,,,,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,3835.0,70.0,-70.0,0.0,0.6,0.06,-0.06,0.0,0.62,0.06,-0.06,0.0,-0.01,0.09,-0.09,0.0,[Fe/H],,,,,,,,,1.0,,,-1.0,,,,,,,,,40.71,0.87,-1.36,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,55.25008,264.98752,-4.37792,173.53343,122.2623054,0.0811597,-0.0811597,94.0337,0.0943642,-0.0943642,-78.1392,0.0568367,-0.0568367,44.0727,0.10815,-0.10815,22.661,0.0552838,-0.0552838,13.527,0.04,-0.04,12.168,0.009,-0.009,9.421,0.027,-0.027,8.805,0.044,-0.044,8.561,0.023,-0.023,15.7198,0.0060234,-0.0060234,13.021,0.0010063,-0.0010063,11.6746,0.0007905,-0.0007905,10.9702,0.000694,-0.000694,12.8219,0.0104595,-0.0104595,8.443,0.022,-0.022,8.424,0.019,-0.019,8.322,0.021,-0.021,8.251,0.298,-0.298,11.4785,0.000959,-0.000959,,,,10.5459,0.0072768,-0.0072768,11.574,,,2023-04-17,2023-04,2023-04-17,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2582921007988512
5000,K2-3 d,K2-3,d,,,TIC 173103335,Gaia DR2 3796690380302214272,0,1,3,0,0,Transit,2015,<a refstr=CROSSFIELD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...10C/abstract target=ref>Crossfield et al. 2015</a>,2015-05,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,44.556456,9.7e-05,-9.7e-05,0.0,0.2097,0.007,-0.007,0.0,1.62,0.18,-0.18,0.0,0.145,0.016,-0.016,0.0,1.6,,,1.0,0.00503,,,1.0,,,,,,,,,,,,,,,,,1.6,,,1.0,0.00503,,,1.0,Mass,2.1,,,1.0,0.097,,,1.0,1.6,0.38,-0.33,0.0,312.0,17.0,-17.0,0.0,89.788,0.033,-0.029,0.0,2456826.22347,0.00053,-0.00053,0.0,BJD-TDB,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,1.0,,,,,,,,,<a refstr=BONOMO_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230405773B/abstract target=ref>Bonomo et al. 2023</a>,,3835.0,70.0,-70.0,0.0,0.6,0.06,-0.06,0.0,0.62,0.06,-0.06,0.0,-0.01,0.09,-0.09,0.0,[Fe/H],,,,,,,,,1.0,,,-1.0,,,,,,,,,40.71,0.87,-1.36,0.0,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,55.25008,264.98752,-4.37792,173.53343,122.2623054,0.0811597,-0.0811597,94.0337,0.0943642,-0.0943642,-78.1392,0.0568367,-0.0568367,44.0727,0.10815,-0.10815,22.661,0.0552838,-0.0552838,13.527,0.04,-0.04,12.168,0.009,-0.009,9.421,0.027,-0.027,8.805,0.044,-0.044,8.561,0.023,-0.023,15.7198,0.0060234,-0.0060234,13.021,0.0010063,-0.0010063,11.6746,0.0007905,-0.0007905,10.9702,0.000694,-0.000694,12.8219,0.0104595,-0.0104595,8.443,0.022,-0.022,8.424,0.019,-0.019,8.322,0.021,-0.021,8.251,0.298,-0.298,11.4785,0.000959,-0.000959,,,,10.5459,0.0072768,-0.0072768,11.574,,,2023-04-17,2023-04,2023-04-17,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3571211606365053
5006,K2-3 d,K2-3,d,,,TIC 173103335,Gaia DR2 3796690380302214272,1,1,3,0,0,Transit,2015,<a refstr=CROSSFIELD_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804...10C/abstract target=ref>Crossfield et al. 2015</a>,2015-05,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,44.55603,0.00013,-0.00012,0.0,0.2014,0.0034,-0.0033,0.0,1.458,0.056,-0.051,0.0,0.13,0.005,-0.005,0.0,2.2,,,1.0,0.00692,,,1.0,,,,,,,,,,,,,,,,,2.2,,,1.0,0.00692,,,1.0,Mass,,,,,0.091,0.12,-0.064,0.0,1.44,0.14,-0.14,0.0,305.0,3.0,-3.0,0.0,89.82,0.12,-0.11,0.0,2457271.78796,0.00076,-0.00076,0.0,BJD-TDB,0.0,0.24,0.16,-0.16,0.0,,,,,,,,,79.4,2.0,-2.3,0.0,0.02449,0.00041,-0.0004,0.0,,,,,,,,,0.0,140.0,-150.0,0.0,,,,,,,,,,,,,<a refstr=DIAMOND_LOWE_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....164..172D/abstract target=ref>Diamond-Lowe et al. 2022</a>,M V,3844.0,61.0,-63.0,0.0,0.55,0.02,-0.02,0.0,0.55,0.03,-0.03,0.0,-0.157,0.075,-0.08,0.0,[Fe/H],-1.231,0.013,-0.014,0.0,4.7,0.02,-0.03,0.0,6.9,4.7,-4.7,0.0,4.78,0.37,-0.4,0.0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h29m20.49s,172.3353708,-01d27m18.49s,-1.4551364,55.25008,264.98752,-4.37792,173.53343,122.2623054,0.0811597,-0.0811597,94.0337,0.0943642,-0.0943642,-78.1392,0.0568367,-0.0568367,44.0727,0.10815,-0.10815,22.661,0.0552838,-0.0552838,13.527,0.04,-0.04,12.168,0.009,-0.009,9.421,0.027,-0.027,8.805,0.044,-0.044,8.561,0.023,-0.023,15.7198,0.0060234,-0.0060234,13.021,0.0010063,-0.0010063,11.6746,0.0007905,-0.0007905,10.9702,0.000694,-0.000694,12.8219,0.0104595,-0.0104595,8.443,0.022,-0.022,8.424,0.019,-0.019,8.322,0.021,-0.021,8.251,0.298,-0.298,11.4785,0.000959,-0.000959,,,,10.5459,0.0072768,-0.0072768,11.574,,,2023-07-10,2022-11,2023-07-10,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5743428710816686
